issue,subject,company,response,product_area,status,request_type,justification
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.
",Claude access lost,Claude,I'm escalating this because restoring access to a Claude Team workspace requires an authorized organization admin/owner. The corpus says removed members lose access immediately and seats become available for reassignment; an agent should not restore access for a non-owner.,team_and_enterprise_plans,escalated,product_issue,Account access and permissions change requires authorized human/admin action.
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",Test Score Dispute,HackerRank,"I'm escalating this because changing scores or influencing a recruiter's hiring decision is not something the support agent can do. HackerRank documentation covers reports and candidate statuses, but hiring decisions and score changes require the hiring team's review.",screen,escalated,product_issue,"Request asks for score/hiring outcome intervention, which requires human review."
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.
",Help,Visa,"To dispute a Visa charge, contact your card issuer or bank using the number on the front or back of your Visa card. The issuer usually needs transaction details before resolving a dispute. Visa does not directly service cardholder or merchant accounts, so it cannot issue an immediate refund or ban a seller from accepting payments.",dispute_resolution,escalated,product_issue,Visa support directs cardholders to their issuer for charge disputes and notes that banks manage cardholder and merchant accounts.
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,I'm escalating this refund request. The corpus says mock-interview refund requests should be sent to help@hackerrank.com for support review; the agent should not approve refunds directly.,subscriptions_payments_and_billing,escalated,bug,Payment/refund requests require support-team review.
"I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?
",Give me my money,HackerRank,I'm escalating this payment issue because it involves a specific order/payment identifier and may require account or billing-system access.,subscriptions_payments_and_billing,escalated,product_issue,Specific payment records are sensitive and cannot be resolved from corpus text alone.
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,"I'm escalating this because completing a company infosec questionnaire requires official security/compliance responses, not generated text from the general help corpus.",security_and_compliance,escalated,product_issue,Security questionnaire support needs authorized human/company documentation.
"i can not able to see apply tab
","I need to practice, submissions not working",HackerRank,"For the HackerRank Community Apply tab, check that you are logged into the correct Community account and review the job-search/Quick Apply guidance in the corpus. If the tab is still missing after confirming the account and browser, escalate with a screenshot and browser details.",community,replied,bug,Matched Community job-search and Quick Apply support topics while keeping troubleshooting bounded.
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,I'm escalating this because submissions failing across all challenges may be a platform-wide or account-specific incident.,community,escalated,bug,Broad submission failures need live investigation and should not be guessed from docs.
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,HackerRank,"For Zoom-powered HackerRank Interviews, make sure your network allows *.zoom.us, *.*.zoom.us, and zoom.us, and use the latest Chrome, Edge, or Firefox. Run the HackerRank compatibility check again. If compatibility still fails, contact support@hackerrank.com with a screenshot of the error.",interviews,replied,bug,Grounded in the HackerRank Interviews Zoom compatibility article.
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",,HackerRank,I'm escalating this because rescheduling a company assessment depends on the hiring team or test administrator. HackerRank support documentation cannot authorize a new assessment date on behalf of the company.,screen,escalated,product_issue,Assessment scheduling changes require recruiter/admin action.
